time;tavg;tmin;tmax;prcp;snow;wdir;wspd;wpgt;pres;tsun
01/01/1950;-2.2;-3.6;0.6;0.0;0.0;;;;;
02/01/1950;1.5;-7.0;2.8;9.4;0.0;;;;;
03/01/1950;2.2;0.9;3.0;3.9;0.0;;;;;
04/01/1950;2.1;0.8;6.9;5.1;0.0;;;;;
05/01/1950;7.1;2.8;8.2;0.6;0.0;;;;;
06/01/1950;5.6;4.0;8.6;0.3;0.0;;;;;
07/01/1950;2.7;0.3;9.0;0.0;0.0;;;;;
08/01/1950;1.8;-3.1;5.0;0.0;0.0;;;;;
09/01/1950;2.9;-2.4;3.3;0.0;0.0;;;;;
10/01/1950;7.9;0.2;7.1;0.0;0.0;;;;;
11/01/1950;7.9;5.1;9.0;0.0;0.0;;;;;
12/01/1950;7.0;4.6;7.7;0.8;0.0;;;;;
13/01/1950;2.0;0.6;3.4;0.0;0.0;;;;;
14/01/1950;2.6;-0.4;4.0;0.0;0.0;;;;;
15/01/1950;4.5;2.6;7.0;0.0;0.0;;;;;
16/01/1950;6.1;3.3;6.6;3.2;0.0;;;;;
17/01/1950;1.6;-0.8;4.6;0.0;0.0;;;;;
18/01/1950;1.0;-0.4;3.6;0.0;0.0;;;;;
19/01/1950;-4.6;-6.1;-4.2;0.0;0.0;;;;;
20/01/1950;-3.8;-7.7;-2.6;0.0;0.0;;;;;
21/01/1950;-2.8;-4.4;-1.1;0.0;0.0;;;;;
22/01/1950;-3.2;-8.8;1.0;0.0;0.0;;;;;
23/01/1950;-2.1;-4.5;-0.5;0.0;0.0;;;;;
24/01/1950;-5.1;-9.4;-2.5;0.0;0.0;;;;;
25/01/1950;-4.0;-10.4;0.4;0.0;0.0;;;;;
26/01/1950;-1.8;-8.5;0.0;0.0;0.0;;;;;
27/01/1950;-1.0;-3.9;1.3;0.0;0.0;;;;;
28/01/1950;-1.8;-3.4;-0.9;0.0;0.0;;;;;
29/01/1950;-2.0;-5.0;-2.2;0.0;0.0;;;;;
30/01/1950;-3.6;-5.4;-2.0;0.0;0.0;;;;;
31/01/1950;-0.4;-8.2;1.8;0.6;0.0;;;;;
01/02/1950;3.1;-3.2;8.2;0.0;0.0;;;;;
02/02/1950;0.6;-4.1;4.4;0.0;0.0;;;;;
03/02/1950;2.7;-3.6;7.0;1.7;0.0;;;;;
04/02/1950;6.7;1.2;8.2;1.3;0.0;;;;;
05/02/1950;6.7;4.1;10.8;1.5;0.0;;;;;
06/02/1950;9.6;4.4;11.5;1.8;0.0;;;;;
07/02/1950;4.6;3.6;6.5;0.0;0.0;;;;;
08/02/1950;5.9;0.7;8.6;6.0;0.0;;;;;
09/02/1950;2.7;1.3;10.3;5.8;0.0;;;;;
10/02/1950;11.1;0.9;13.2;1.9;0.0;;;;;
11/02/1950;7.6;5.0;11.7;4.4;0.0;;;;;
12/02/1950;6.9;4.2;9.8;1.2;0.0;;;;;
13/02/1950;8.8;5.1;13.2;1.0;0.0;;;;;
14/02/1950;3.9;2.8;6.0;0.1;0.0;;;;;
15/02/1950;6.7;0.8;8.0;0.3;0.0;;;;;
16/02/1950;7.4;6.6;12.4;0.0;0.0;;;;;
17/02/1950;6.6;-2.8;14.8;0.0;0.0;;;;;
18/02/1950;6.6;-2.8;15.9;0.0;0.0;;;;;
19/02/1950;8.2;-0.6;16.0;0.0;0.0;;;;;
20/02/1950;10.6;0.9;12.2;1.2;0.0;;;;;
21/02/1950;5.8;6.0;10.6;2.0;0.0;;;;;
22/02/1950;2.6;1.0;8.1;0.0;0.0;;;;;
23/02/1950;6.8;-4.7;9.2;0.6;0.0;;;;;
24/02/1950;9.2;6.9;10.2;2.0;0.0;;;;;
25/02/1950;8.4;4.6;10.2;2.0;0.0;;;;;
26/02/1950;1.4;-0.2;5.3;4.6;0.0;;;;;
27/02/1950;-1.4;-2.0;0.6;0.4;90.0;;;;;
28/02/1950;-2.8;-3.6;1.5;0.0;90.0;;;;;
01/03/1950;-3.5;-5.5;2.2;0.0;0.0;;;;;
02/03/1950;-2.6;-5.2;1.4;0.0;0.0;;;;;
03/03/1950;-0.2;-4.2;6.8;0.0;0.0;;;;;
04/03/1950;3.0;-1.4;6.8;0.1;0.0;;;;;
05/03/1950;3.7;-1.2;10.4;0.0;0.0;;;;;
06/03/1950;6.4;0.5;13.7;0.0;0.0;;;;;
07/03/1950;4.2;0.7;11.4;0.0;0.0;;;;;
08/03/1950;8.4;-2.0;18.1;0.0;0.0;;;;;
09/03/1950;8.6;-0.1;17.2;0.0;0.0;;;;;
10/03/1950;4.8;3.0;9.5;2.5;0.0;;;;;
11/03/1950;5.4;1.0;9.6;0.0;0.0;;;;;
12/03/1950;4.7;3.7;6.8;1.9;0.0;;;;;
13/03/1950;4.1;0.1;7.4;0.0;0.0;;;;;
14/03/1950;6.7;0.7;10.8;0.0;0.0;;;;;
15/03/1950;9.6;4.0;16.0;0.0;0.0;;;;;
16/03/1950;9.5;-0.8;17.5;0.0;0.0;;;;;
17/03/1950;12.8;4.2;19.5;0.4;0.0;;;;;
18/03/1950;10.0;4.4;16.6;0.0;0.0;;;;;
19/03/1950;10.0;2.8;14.8;0.0;0.0;;;;;
20/03/1950;10.4;5.8;16.2;1.3;0.0;;;;;
21/03/1950;9.1;7.1;13.8;0.5;0.0;;;;;
22/03/1950;9.8;3.2;16.9;0.0;0.0;;;;;
23/03/1950;8.5;0.6;15.3;0.0;0.0;;;;;
24/03/1950;10.7;6.6;15.3;1.8;0.0;;;;;
25/03/1950;8.6;3.6;13.9;0.0;0.0;;;;;
26/03/1950;9.4;1.8;14.3;0.0;0.0;;;;;
27/03/1950;7.6;0.6;14.3;0.0;0.0;;;;;
28/03/1950;9.1;0.7;17.8;0.0;0.0;;;;;
29/03/1950;6.2;2.6;14.4;0.0;0.0;;;;;
30/03/1950;5.3;1.4;10.8;0.0;0.0;;;;;
31/03/1950;5.1;0.5;13.2;0.0;0.0;;;;;
01/04/1950;6.6;-2.2;11.0;0.0;0.0;;;;;
02/04/1950;7.5;6.4;10.7;4.4;0.0;;;;;
03/04/1950;6.4;4.0;11.8;0.8;0.0;;;;;
04/04/1950;6.8;2.9;11.0;0.0;0.0;;;;;
05/04/1950;8.0;4.9;11.0;0.3;0.0;;;;;
06/04/1950;5.8;2.9;11.2;0.0;0.0;;;;;
07/04/1950;10.8;-1.4;17.6;0.0;0.0;;;;;
08/04/1950;18.5;0.6;24.8;0.0;0.0;;;;;
09/04/1950;11.6;8.3;18.0;2.1;0.0;;;;;
10/04/1950;8.8;4.6;9.8;1.5;0.0;;;;;
11/04/1950;5.0;3.8;10.4;1.0;0.0;;;;;
12/04/1950;7.6;2.8;10.5;2.3;0.0;;;;;
13/04/1950;7.4;2.0;12.1;0.0;0.0;;;;;
14/04/1950;7.5;-1.0;12.6;2.6;0.0;;;;;
15/04/1950;5.2;5.6;7.0;10.3;0.0;;;;;
16/04/1950;5.7;3.9;9.5;0.0;0.0;;;;;
17/04/1950;6.1;-0.4;13.4;0.0;0.0;;;;;
18/04/1950;11.6;0.7;15.6;0.0;0.0;;;;;
19/04/1950;11.8;6.3;15.9;0.3;0.0;;;;;
20/04/1950;10.6;10.0;16.5;0.2;0.0;;;;;
21/04/1950;10.9;7.7;13.6;9.6;0.0;;;;;
22/04/1950;12.4;10.6;18.2;0.3;0.0;;;;;
23/04/1950;8.9;9.4;11.0;0.4;0.0;;;;;
24/04/1950;6.8;7.0;10.3;1.6;0.0;;;;;
25/04/1950;4.6;2.1;8.0;0.0;0.0;;;;;
26/04/1950;6.7;1.6;12.1;1.1;0.0;;;;;
27/04/1950;6.0;2.9;9.4;1.8;0.0;;;;;
28/04/1950;9.0;0.2;11.0;0.0;0.0;;;;;
29/04/1950;11.1;8.2;14.7;0.0;0.0;;;;;
30/04/1950;14.4;8.4;21.5;0.0;0.0;;;;;
01/05/1950;16.9;5.2;25.8;0.0;0.0;;;;;
02/05/1950;15.7;9.0;22.7;16.9;0.0;;;;;
03/05/1950;11.8;10.8;16.8;0.3;0.0;;;;;
04/05/1950;10.8;7.0;16.4;9.6;0.0;;;;;
05/05/1950;8.7;8.6;13.2;1.0;0.0;;;;;
06/05/1950;11.6;2.2;17.8;6.1;0.0;;;;;
07/05/1950;12.0;10.4;16.7;1.1;0.0;;;;;
08/05/1950;12.0;7.1;18.5;0.0;0.0;;;;;
